workshop-name,topic,id,date,max,registrants,attendees,value,,,
R: Shiny,R,159544000000,8/26/2021,300,,,55,,,-
Intermediate Quest,Quest,,8/18/2021,,,,#N/A,,,
R: Regression Models,R,163922000000,8/16/2021,350,,,49,,,
R: Building Phylogenetic Trees with ggtree,R,163931000000,8/11/2021,350,,,17,,,
Using GPUs with Python,GPU,163387000000,8/11/2021,300,,,39,,,
Python: Text Analysis with NLTK,Python,159181000000,8/10/2021,300,,,78,,,
Next Steps in Python: Introduction to Machine Learning with Scikit-learn,Python,163921000000,8/9/2021,350,,,62,,,
R: How to Create Circular Graphs,R,159546000000,8/4/2021,300,,,44,,,
R: Text Analysis Basics,R,159184000000,8/3/2021,300,,,56,,,
R: How to Create Directed Network Maps,R,159546000000,8/2/2021,300,,,41,,,
Next Steps in Python: Data Viz Basics with Matplotlib,Python,159178000000,8/2/2021,300,,,97,,,
R: Intro to Webscraping with rvest,R,159180000000,7/27/2021,300,,,58,,,
Regular Expressions,regex,157116000000,7/26/2021,300,,,138,,,
Next Steps in Python: Python for Automation,Python,157114000000,7/26/2021,300,,,271,,,
BioPython: Working with biological sequence data,Python,157843000000,7/19/2021,300,,,124,,,
"Website Basics with HTML, CSS and JS",web,155870000000,7/19/2021,100,60,,113,,,
R: Introduction to Lists and Map Functions,R,159545000000,7/13/2021,300,53,,54,,,
Genomics Seminar,Genomics,160857000000,7/13/2021,,,,66,,,
R: Solving Programming Problems on Your Own,R,159545000000,7/12/2021,300,51,,54,,,
Next Steps in Python: Intermediate Skills (that are guaranteed to make your life easier),Python,157114000000,7/12/2021,350,307,,309,,,
Parabricks: GATK genomics pipeline on Quest GPUs,Genomics,159671000000,7/8/2021,,,,16,,,
Next Steps in Python: Data Science Basics,Python,157113000000,7/6/2021,350,306,100,306,,,
R Tidyverse,R,155869000000,6/28/2021,295,,72,205,,,
R Fundamentals Bootcamp,R,155868000000,6/21/2021,400,260,160,256,,,
